(ratingA +/- deltaA) nameA (corpA/runnerA) - (runnerB/corpB) nameB (ratingB +/- deltaB)
(1000.00 -10.000) Волков Кирилл (0/0) - (10/10) Елисеев Борис (1000.00 +10.000)
(990.00 -9.640) Волков Кирилл (0/0) - (10/10) Ермолаев Алексей (1002.50 +9.640)
(980.36 -10.462) Волков Кирилл (0/0) - (10/10) Пинчук Сергей (964.29 +10.462)
(969.90 -9.422) Волков Кирилл (0/0) - (10/10) Яковлева Анна (990.01 +9.422)
(960.48 -9.151) Волков Кирилл (0/0) - (10/10) Володин Антон (990.03 +9.151)
(951.32 -9.876) Волков Кирилл (0/0) - (10/10) Гончаренко Сергей (955.63 +9.876)
(941.45 -0.477) Волков Кирилл (0/10) - (10/0) Малич Антон (924.88 +0.477)
(940.97 +0.995) Волков Кирилл (10/0) - (0/10) Леньшин Егор (975.65 -0.995)
(941.97 +1.028) Волков Кирилл (0/10) - (10/0) Ельшевский Антон (977.82 -1.028)
