(ratingA +/- deltaA) nameA (corpA/runnerA) - (runnerB/corpB) nameB (ratingB +/- deltaB)
(1000.00 +10.000) Привалов Денис (10/10) - (0/0) Куклин Андрей (1000.00 -10.000)
(1010.00 +0.000) Привалов Денис (0/10) - (10/0) Елисеев Борис (1010.00 +0.000)
(1010.00 -8.917) Привалов Денис (0/0) - (10/10) Борц Ларик (1047.77 +8.917)
(1001.08 +9.969) Привалов Денис (10/10) - (0/0) Володин Антон (1000.00 -9.969)
(1011.05 +2.662) Привалов Денис (10/0) - (0/10) Попов Егор (1105.84 -2.662)
(1013.71 +9.633) Привалов Денис (10/10) - (0/0) Полевиков Александр (1000.96 -9.633)
(1023.35 -10.924) Привалов Денис (0/0) - (10/10) Ярцев Александр (991.16 +10.924)
(1012.42 -2.095) Привалов Денис (0/10) - (10/0) Пинчук Сергей (938.55 +2.095)
(1010.33 +8.817) Привалов Денис (10/10) - (0/0) Николаев Денис (969.03 -8.817)
